******************* Приложение запущено 2024.07.18 20:22:00,380 [v1.47.0.1064] **************************
2024.07.18 20:23:55,793 [196280786][1.47.0.1064] DEBUG - 	sender: ScanCity.ConveyerTerminal.DeviceClient.UI.Sorting.SortingScsForm
2024.07.18 20:23:55,793 [196280786][1.47.0.1064] DEBUG - 	e: System.Windows.Forms.KeyEventArgs
2024.07.18 20:23:55,798 [196280786][1.47.0.1064] DEBUG - <<< Метод SortingScsForm.OnFormKeyDown успешно завершен. Возвращаемое значение: отсутствует
2024.07.18 20:23:55,989 [196280786][1.47.0.1064] DEBUG - >>> Вызван метод SortingScsForm.OnFormKeyDown...
2024.07.18 20:23:55,989 [196280786][1.47.0.1064] DEBUG - Параметры метода: 
2024.07.18 20:23:55,990 [196280786][1.47.0.1064] DEBUG - 	sender: ScanCity.ConveyerTerminal.DeviceClient.UI.Sorting.SortingScsForm
2024.07.18 20:23:55,990 [196280786][1.47.0.1064] DEBUG - 	e: System.Windows.Forms.KeyEventArgs
2024.07.18 20:23:55,995 [196280786][1.47.0.1064] DEBUG - <<< Метод SortingScsForm.OnFormKeyDown успешно завершен. Возвращаемое значение: отсутствует
2024.07.18 20:23:56,229 [196280786][1.47.0.1064] DEBUG - >>> Вызван метод SortingScsForm.OnFormKeyDown...
2024.07.18 20:23:56,229 [196280786][1.47.0.1064] DEBUG - Параметры метода: 
2024.07.18 20:23:56,229 [196280786][1.47.0.1064] DEBUG - 	sender: ScanCity.ConveyerTerminal.DeviceClient.UI.Sorting.SortingScsForm
2024.07.18 20:23:56,230 [196280786][1.47.0.1064] DEBUG - 	e: System.Windows.Forms.KeyEventArgs
2024.07.18 20:23:56,234 [196280786][1.47.0.1064] DEBUG - <<< Метод SortingScsForm.OnFormKeyDown успешно завершен. Возвращаемое значение: отсутствует
2024.07.18 20:23:58,139 [196280786][1.47.0.1064] DEBUG - >>> Вызван метод SortingScsForm.OnFormKeyDown...
2024.07.18 20:23:58,139 [196280786][1.47.0.1064] DEBUG - Параметры метода: 
2024.07.18 20:23:58,140 [196280786][1.47.0.1064] DEBUG - 	sender: ScanCity.ConveyerTerminal.DeviceClient.UI.Sorting.SortingScsForm
2024.07.18 20:23:58,140 [196280786][1.47.0.1064] DEBUG - 	e: System.Windows.Forms.KeyEventArgs
2024.07.18 20:23:58,145 [196280786][1.47.0.1064] DEBUG - <<< Метод SortingScsForm.OnFormKeyDown успешно завершен. Возвращаемое значение: отсутствует
2024.07.18 20:23:58,312 [196280786][1.47.0.1064] DEBUG - >>> Вызван метод SortingScsForm.OnFormKeyDown...
2024.07.18 20:23:58,312 [196280786][1.47.0.1064] DEBUG - Параметры метода: 
2024.07.18 20:23:58,312 [196280786][1.47.0.1064] DEBUG - 	sender: ScanCity.ConveyerTerminal.DeviceClient.UI.Sorting.SortingScsForm
2024.07.18 20:23:58,313 [196280786][1.47.0.1064] DEBUG - 	e: System.Windows.Forms.KeyEventArgs
2024.07.18 20:23:58,317 [196280786][1.47.0.1064] DEBUG - <<< Метод SortingScsForm.OnFormKeyDown успешно завершен. Возвращаемое значение: отсутствует
2024.07.18 20:23:58,511 [196280786][1.47.0.1064] DEBUG - >>> Вызван метод SortingScsForm.OnFormKeyDown...
2024.07.18 20:23:58,512 [196280786][1.47.0.1064] DEBUG - Параметры метода: 
2024.07.18 20:23:58,512 [196280786][1.47.0.1064] DEBUG - 	sender: ScanCity.ConveyerTerminal.DeviceClient.UI.Sorting.SortingScsForm
2024.07.18 20:23:58,512 [196280786][1.47.0.1064] DEBUG - 	e: System.Windows.Forms.KeyEventArgs
2024.07.18 20:23:58,517 [196280786][1.47.0.1064] DEBUG - <<< Метод SortingScsForm.OnFormKeyDown успешно завершен. Возвращаемое значение: отсутствует
2024.07.18 20:24:01,084 [196280786][1.47.0.1064] DEBUG - >>> Вызван метод SortingScsForm.OnFormKeyDown...
2024.07.18 20:24:01,085 [196280786][1.47.0.1064] DEBUG - Параметры метода: 
2024.07.18 20:24:01,085 [196280786][1.47.0.1064] DEBUG - 	sender: ScanCity.ConveyerTerminal.DeviceClient.UI.Sorting.SortingScsForm
2024.07.18 20:24:01,085 [196280786][1.47.0.1064] DEBUG - 	e: System.Windows.Forms.KeyEventArgs
2024.07.18 20:24:01,090 [196280786][1.47.0.1064] DEBUG - <<< Метод SortingScsForm.OnFormKeyDown успешно завершен. Возвращаемое значение: отсутствует
2024.07.18 20:24:01,329 [196280786][1.47.0.1064] DEBUG - >>> Вызван метод SortingScsForm.OnFormKeyDown...
2024.07.18 20:24:01,329 [196280786][1.47.0.1064] DEBUG - Параметры метода: 
2024.07.18 20:24:01,329 [196280786][1.47.0.1064] DEBUG - 	sender: ScanCity.ConveyerTerminal.DeviceClient.UI.Sorting.SortingScsForm
2024.07.18 20:24:01,329 [196280786][1.47.0.1064] DEBUG - 	e: System.Windows.Forms.KeyEventArgs
2024.07.18 20:24:01,334 [196280786][1.47.0.1064] DEBUG - <<< Метод SortingScsForm.OnFormKeyDown успешно завершен. Возвращаемое значение: отсутствует
2024.07.18 20:24:01,506 [196280786][1.47.0.1064] DEBUG - >>> Вызван метод SortingScsForm.OnFormKeyDown...
2024.07.18 20:24:01,506 [196280786][1.47.0.1064] DEBUG - Параметры метода: 
2024.07.18 20:24:01,506 [196280786][1.47.0.1064] DEBUG - 	sender: ScanCity.ConveyerTerminal.DeviceClient.UI.Sorting.SortingScsForm
2024.07.18 20:24:01,506 [196280786][1.47.0.1064] DEBUG - 	e: System.Windows.Forms.KeyEventArgs
2024.07.18 20:24:01,511 [196280786][1.47.0.1064] DEBUG - <<< Метод SortingScsForm.OnFormKeyDown успешно завершен. Возвращаемое значение: отсутствует
2024.07.18 20:24:04,018 [196280786][1.47.0.1064] DEBUG - >>> Вызван метод SortingScsForm.OnFormKeyDown...
2024.07.18 20:24:04,018 [196280786][1.47.0.1064] DEBUG - Параметры метода: 
2024.07.18 20:24:04,018 [196280786][1.47.0.1064] DEBUG - 	sender: ScanCity.ConveyerTerminal.DeviceClient.UI.Sorting.SortingScsForm
2024.07.18 20:24:04,018 [196280786][1.47.0.1064] DEBUG - 	e: System.Windows.Forms.KeyEventArgs
2024.07.18 20:24:04,023 [196280786][1.47.0.1064] DEBUG - <<< Метод SortingScsForm.OnFormKeyDown успешно завершен. Возвращаемое значение: отсутствует
2024.07.18 20:24:04,960 [196280786][1.47.0.1064] DEBUG - >>> Вызван метод SortingScsForm.OnFormKeyDown...
2024.07.18 20:24:04,960 [196280786][1.47.0.1064] DEBUG - Параметры метода: 
2024.07.18 20:24:04,960 [196280786][1.47.0.1064] DEBUG - 	sender: ScanCity.ConveyerTerminal.DeviceClient.UI.Sorting.SortingScsForm
2024.07.18 20:24:04,961 [196280786][1.47.0.1064] DEBUG - 	e: System.Windows.Forms.KeyEventArgs
2024.07.18 20:24:04,966 [196280786][1.47.0.1064] DEBUG - <<< Метод SortingScsForm.OnFormKeyDown успешно завершен. Возвращаемое значение: отсутствует
2024.07.18 20:24:05,025 [196280786][1.47.0.1064] DEBUG - >>> Вызван метод SortingScsForm.OnNomenclatureInputted...
2024.07.18 20:24:05,025 [196280786][1.47.0.1064] DEBUG - Параметры метода: 
2024.07.18 20:24:05,025 [196280786][1.47.0.1064] DEBUG - 	sender: InputField (label: ШК товара:, text: 4607012144119)
2024.07.18 20:24:05,025 [196280786][1.47.0.1064] DEBUG - 	args: InputtedEventArgs (Text: 4607012144119, Source: Keyboard, BarcodeEventArgs: )
2024.07.18 20:24:05,031 [196280786][1.47.0.1064] DEBUG - >>> Вызван метод SortingScsForm.OnItemBarcodeEnter...
2024.07.18 20:24:05,031 [196280786][1.47.0.1064] DEBUG - Параметры метода: 
2024.07.18 20:24:05,032 [196280786][1.47.0.1064] DEBUG - 	itemBarcode: 4607012144119
